,content,time,author
0,Hi <@!853203316582383646>,2021-06-12 09:28:42.992,Nanachi Yevhenii
1,"```nim
The queue is empty ;-;```",2021-06-11 15:06:12.980,Groovy
2,,2021-06-11 15:05:53.282,Groovy
3,,2021-06-11 15:05:22.761,Groovy
4,,2021-06-11 14:38:57.883,Groovy
5,,2021-06-11 14:38:29.655,Groovy
6,"```
Atlanta's permissions in общее

CREATE_INSTANT_INVITE ✅
KICK_MEMBERS ✅
BAN_MEMBERS ✅
ADMINISTRATOR ✅
MANAGE_CHANNELS ✅
MANAGE_GUILD ✅
ADD_REACTIONS ✅
VIEW_AUDIT_LOG ✅
PRIORITY_SPEAKER ✅
STREAM ✅
VIEW_CHANNEL ✅
SEND_MESSAGES ✅
SEND_TTS_MESSAGES ✅
MANAGE_MESSAGES ✅
EMBED_LINKS ✅
ATTACH_FILES ✅
READ_MESSAGE_HISTORY ✅
MENTION_EVERYONE ✅
USE_EXTERNAL_EMOJIS ✅
VIEW_GUILD_INSIGHTS ✅
CONNECT ✅
SPEAK ✅
MUTE_MEMBERS ✅
DEAFEN_MEMBERS ✅
MOVE_MEMBERS ✅
USE_VAD ✅
CHANGE_NICKNAME ✅
MANAGE_NICKNAMES ✅
MANAGE_ROLES ✅
MANAGE_WEBHOOKS ✅
MANAGE_EMOJIS ✅
USE_APPLICATION_COMMANDS ✅
REQUEST_TO_SPEAK ✅

33 ✅ | 0 ❌
```",2021-06-11 14:37:52.672,Atlanta
7,*permissions <@!557445719892688897>,2021-06-11 14:37:50.678,Nanachi Yevhenii
8,"```
techyChung's permissions in общее

CREATE_INSTANT_INVITE ✅
KICK_MEMBERS ❌
BAN_MEMBERS ❌
ADMINISTRATOR ❌
MANAGE_CHANNELS ❌
MANAGE_GUILD ❌
ADD_REACTIONS ✅
VIEW_AUDIT_LOG ❌
PRIORITY_SPEAKER ❌
STREAM ✅
VIEW_CHANNEL ✅
SEND_MESSAGES ✅
SEND_TTS_MESSAGES ❌
MANAGE_MESSAGES ❌
EMBED_LINKS ✅
ATTACH_FILES ✅
READ_MESSAGE_HISTORY ✅
MENTION_EVERYONE ✅
USE_EXTERNAL_EMOJIS ✅
VIEW_GUILD_INSIGHTS ❌
CONNECT ✅
SPEAK ✅
MUTE_MEMBERS ❌
DEAFEN_MEMBERS ❌
MOVE_MEMBERS ❌
USE_VAD ✅
CHANGE_NICKNAME ✅
MANAGE_NICKNAMES ❌
MANAGE_ROLES ❌
MANAGE_WEBHOOKS ❌
MANAGE_EMOJIS ❌
USE_APPLICATION_COMMANDS ✅
REQUEST_TO_SPEAK ✅

16 ✅ | 17 ❌
```",2021-06-11 14:37:34.262,Atlanta
9,*permissions <@!751368229158649886>,2021-06-11 14:37:34.154,Nanachi Yevhenii
10,fuck you I'm already in voice channel,2021-06-11 14:35:34.104,Nanachi Yevhenii
11,<:atlanta_error:736144198318686278> | You must be connected to a voice channel!,2021-06-11 14:35:18.560,Atlanta
12,*play anime,2021-06-11 14:35:18.196,Nanachi Yevhenii
13,i only see russian everywhere in this planet🥲,2021-06-11 14:35:03.134,techyChung
14,There is music but it doesn't work,2021-06-11 14:34:44.710,Nanachi Yevhenii
15,😂,2021-06-11 14:34:43.807,techyChung
